order_id,product_id,add_to_cart_order,reordered
393,12078,1,1
393,6184,2,1
393,32403,3,1
393,19828,4,1
393,12341,5,0
393,16797,6,1
393,13424,7,1
393,30591,8,1
5696,14874,1,1
5696,20178,2,1
5696,26800,3,0
6601,19660,1,1
6601,15322,2,1
6601,40910,3,1
6601,25949,4,1
6601,1511,5,1
6601,21626,6,1
6601,46676,7,1
6601,38889,8,1
6601,45204,9,1
6601,9210,10,1
6601,20127,11,1
6601,11046,12,0
6601,34969,13,1
9059,29223,1,1
9059,8571,2,1
9059,6758,3,0
9059,21137,4,0
9932,35561,1,0
9932,11759,2,0
9932,21573,3,0
9932,13535,4,0
9932,21769,5,0
9932,4913,6,0
19739,31921,1,1
19739,4514,2,0
19739,24915,3,0
22352,32478,1,1
22352,41352,2,0
22352,48697,3,0
22352,25588,4,1
26681,26317,1,0
26681,13176,2,1
26681,28465,3,0
26681,6000,4,0
29486,35383,1,1
29486,21108,2,0
29486,8239,3,0
29486,23338,4,1
29486,31404,5,0
29486,23288,6,0
29486,27344,7,0
29486,11777,8,1
31478,42144,1,0
31478,14401,2,0
31478,5420,3,0
32916,47766,1,1
32916,23322,2,1
32916,28930,3,1
32916,45394,4,1
32916,31573,5,1
32916,5513,6,1
32916,15820,7,1
32916,23645,8,1
32916,27022,9,1
32916,24273,10,1
32916,29363,11,1
32916,33081,12,0
32916,28983,13,1
46409,19660,1,1
46409,37067,2,1
46409,22220,3,1
46409,6269,4,1
46409,42445,5,1
46409,33294,6,1
46409,43686,7,1
46409,41129,8,1
46409,23554,9,0
46409,14966,10,1
46409,46969,11,1
46409,9956,12,1
51913,13702,1,1
51913,32134,2,1
51913,13176,3,1
51913,21137,4,1
51913,5785,5,0
51913,5450,6,0
51913,28071,7,1
55278,23977,1,1
55278,32465,2,0
55278,6692,3,0
55278,33352,4,0
55278,6292,5,0
55278,32433,6,0
55278,3579,7,0
55278,33120,8,0
55278,11597,9,1
55278,29837,10,0
55278,13852,11,0
55278,7010,12,0
55278,47626,13,0
55278,14150,14,0
55278,37053,15,1
55278,7120,16,1
55278,16848,17,0
55278,14805,18,0
55278,10644,19,0
55278,22247,20,0
55278,11441,21,0
55278,5206,22,0
55278,24838,23,1
55278,1942,24,0
55278,36874,25,0
55278,17789,26,0
55278,34605,27,1
55278,30489,28,0
55278,33810,29,0
55278,47734,30,1
55278,5991,31,0
57889,14221,1,1
57889,28928,2,1
57889,38164,3,1
57889,33043,4,1
57889,5031,5,1
57889,49628,6,0
57889,3464,7,1
57889,38427,8,1
57889,41950,9,0
58438,35124,1,1
58438,13654,2,0
58438,27196,3,1
58438,33231,4,1
58438,36959,5,1
58438,20502,6,1
58438,19915,7,1
58438,2618,8,1
58438,32237,9,1
58438,44987,10,0
58438,26373,11,0
62539,13176,1,1
62539,39275,2,1
62539,21903,3,1
62539,43713,4,0
62539,46676,5,1
62539,32139,6,1
62539,343,7,0
62539,7412,8,1
62539,45007,9,0
62539,17461,10,0
62539,9839,11,0
63586,12384,1,1
63586,29442,2,1
63586,12312,3,0
63586,24852,4,1
63586,27874,5,1
63586,27966,6,1
63586,46979,7,1
63586,45007,8,1
63586,17794,9,1
63586,581,10,1
63586,1695,11,1
63586,9339,12,1
63586,13870,13,1
63586,39275,14,1
63586,17828,15,1
63586,48679,16,0
63586,30233,17,1
65818,24852,1,1
65818,47209,2,1
65818,38273,3,1
65818,10603,4,1
65818,45570,5,1
65818,46906,6,1
65818,37029,7,1
65818,9076,8,1
68408,13176,1,1
68408,19348,2,1
68408,30391,3,1
68408,12771,4,0
68408,8174,5,1
68408,37646,6,1
68408,11520,7,1
68408,49075,8,0
68408,22963,9,1
68408,23765,10,1
68408,36746,11,0
68408,28993,12,0
68839,7053,1,1
68839,41131,2,1
68839,16683,3,1
68839,46088,4,1
68839,4398,5,1
68839,14385,6,1
73647,44475,1,1
73647,40136,2,1
73647,42026,3,1
73647,27565,4,1
73647,36266,5,1
73647,1458,6,1
73647,7469,7,1
73647,274,8,1
73647,15869,9,0
73647,38454,10,1
73647,41912,11,1
73647,27796,12,1
73647,20191,13,1
73939,27020,1,1
73939,5077,2,1
73939,44799,3,1
73939,22849,4,1
73939,4377,5,1
73939,19691,6,0
73939,26604,7,1
73939,44683,8,0
73939,3996,9,1
73939,388,10,1
73939,45296,11,0
73939,25806,12,0
73939,40815,13,1
75013,10749,1,1
75013,29675,2,1
75013,30489,3,1
75013,45007,4,1
75013,13198,5,1
75013,26317,6,1
75013,21910,7,1
75013,25138,8,1
75013,48745,9,1
75013,40545,10,1
75013,8518,11,1
75013,32642,12,1
75013,4562,13,1
75013,9337,14,1
75013,21137,15,1
76443,48745,1,1
76443,44142,2,0
76443,10749,3,1
76443,43768,4,1
76443,32446,5,0
76443,6473,6,0
76443,790,7,0
76443,34126,8,0
79331,23008,1,1
79331,23342,2,1
79331,47209,3,0
79331,7500,4,0
81475,19348,1,1
81475,36865,2,1
81475,39877,3,1
81475,13176,4,1
81475,45570,5,1
81475,23373,6,1
81475,38890,7,1
81475,20406,8,1
81475,8174,9,1
81475,4478,10,1
81475,8230,11,1
81475,16479,12,1
81475,34243,13,1
81475,26604,14,1
81475,17874,15,1
81475,13380,16,1
81475,16349,17,1
81475,8021,18,1
81475,28699,19,1
81475,42342,20,1
81475,39928,21,1
81475,4455,22,1
81475,18953,23,0
81475,22935,24,1
81475,39984,25,1
81475,28963,26,0
81475,38456,27,1
85804,14715,1,1
85804,19660,2,1
85969,6972,1,0
85969,45139,2,0
85969,48600,3,1
85969,39363,4,1
85969,39619,5,0
85969,2269,6,0
85969,17462,7,0
85974,11461,1,0
85974,24838,2,0
85974,31022,3,0
85974,9755,4,0
85974,18432,5,1
85974,18534,6,1
85974,28204,7,0
85974,35002,8,0
85974,5618,9,1
85974,45007,10,0
85974,21295,11,0
85974,9411,12,1
85974,23763,13,1
87310,24852,1,1
87310,45066,2,1
87310,8056,3,1
87914,31717,1,1
87914,32267,2,1
